DPNOM;Población
ANTIOQUIA;6951825
ATLANTICO;2845169
SANTAFE DE BOGOTA D.C;7937898
BOLIVAR;2278770
BOYACA;1324122
CALDAS;1051282
CAQUETA;430884
CAUCA;1590171
CESAR;1414859
CORDOBA;1929336
CUNDINAMARCA;3657407
CHOCO;615082
HUILA;1205318
LA GUAJIRA;1073851
MAGDALENA;1529038
META;1160351
NARIÑO;1719281
NORTE DE SANTANDER;1717992
QUINDIO;568560
RISARALDA;974639
SANTANDER;2393214
SUCRE;1016826
TOLIMA;1386826
VALLE DEL CAUCA;4652512
ARAUCA;320723
CASANARE;481938
PUTUMAYO;393988
ARCHIPIELAGO DE SAN ANDRES;62181
AMAZONAS;87480
GUAINIA;59240
GUAVIARE;103237
VAUPES;49142
VICHADA;127467
